id,en_symbol,part_of,math_symbol,math_formula,tex_formula,unit,vars,ro_description,en_description,wiki,auto_translation,poswiki
1,science,knowledge,,,,,,ştiinţa,science,https://en.wikipedia.org/wiki/Science,,https://en.wikipedia.org/wiki/science
2,math,science,,,,,,matematică,mathematics,https://en.wikipedia.org/wiki/Mathematics,,https://en.wikipedia.org/wiki/mathematics
3,physics,science,,,,,,fizică,physics,https://en.wikipedia.org/wiki/Physics,,https://en.wikipedia.org/wiki/physics
4,thermodynamics,physics,,,,,,termodinamică,thermodynamics,https://en.wikipedia.org/wiki/Thermodynamics,,https://en.wikipedia.org/wiki/thermodynamics
5,mechanics,physics,,,,,,mecanică,classical mechanics,https://en.wikipedia.org/wiki/Mechanics,,https://en.wikipedia.org/wiki/classical_mechanics
6,calorimetry,physics,,,,,,calorimetrie,calorimetry,https://en.wikipedia.org/wiki/Calorimetry,,https://en.wikipedia.org/wiki/calorimetry
7,electricity,physics,,,,,,electricitate,electricity,https://en.wikipedia.org/wiki/Electricity,,https://en.wikipedia.org/wiki/electricity
8,magnetism,physics,,,,,,magnetism,magnetism,https://en.wikipedia.org/wiki/Magnetism,,https://en.wikipedia.org/wiki/magnetism
9,optics,physics,,,,,,optică,optics,https://en.wikipedia.org/wiki/Optics,,https://en.wikipedia.org/wiki/optics
10,electromagnetism,physics,,,,,,electromagnetism,electromagnetism,https://en.wikipedia.org/wiki/Electromagnetism,,https://en.wikipedia.org/wiki/electromagnetism
11,quantum,physics,,,,,,mecanică quantică,quantum mechanics,https://en.wikipedia.org/wiki/Quantum_mechanics,,https://en.wikipedia.org/wiki/quantum_mechanics
12,nuclear,physics,,,,,,fizică nucleară,nuclear physics,https://en.wikipedia.org/wiki/Nuclear_physics,,https://en.wikipedia.org/wiki/nuclear_physics
13,atomic,physics,,,,,,fizică atomică,atomic physics,https://en.wikipedia.org/wiki/Atomic_physics,,https://en.wikipedia.org/wiki/atomic_physics
14,units,physics,,,,,,unităţi de măsură,units of measurement,https://en.wikipedia.org/wiki/Units_of_measurement,,https://en.wikipedia.org/wiki/units_of_measurement
15,m,units,m,,,,,metru,metre,https://en.wikipedia.org/wiki/Metre,,https://en.wikipedia.org/wiki/metre
16,J,units,J,N*m,,kg*m^2*s^{−2},,joule,joule,https://en.wikipedia.org/wiki/Joule,,https://en.wikipedia.org/wiki/joule
17,K,units,K,,,,,kelvin,kelvin,https://en.wikipedia.org/wiki/Kelvin,,https://en.wikipedia.org/wiki/kelvin
18,mol,units,mol,,,,,mol,mole,https://en.wikipedia.org/wiki/Mole_(unit),,https://en.wikipedia.org/wiki/mole
19,kg,units,kg,,,,,kilogram,kilogram,https://en.wikipedia.org/wiki/Kilogram,,https://en.wikipedia.org/wiki/kilogram
20,s,units,s,,,,,secundă,second,https://en.wikipedia.org/wiki/Second,,https://en.wikipedia.org/wiki/second
21,cd,units,cd,,,,,candelă,candela,https://en.wikipedia.org/wiki/Candela,,https://en.wikipedia.org/wiki/candela
22,F,units,F,C/V,,kg^{−1}*m^{−2}*s^4*A^2,,farad,farad,https://en.wikipedia.org/wiki/Farad,,https://en.wikipedia.org/wiki/farad
23,Bq,units,Bq,,,s^{-1},,becquerel,becquerel,https://en.wikipedia.org/wiki/Becquerel,,https://en.wikipedia.org/wiki/becquerel
24,ohm,units,Omega,V/A,,kg*m^2*s^{−3}*A^{−2},,ohm,ohm,https://en.wikipedia.org/wiki/Ohm,,https://en.wikipedia.org/wiki/ohm
25,rad,units,rad,,,m*m^{-1},,radian,radian,https://en.wikipedia.org/wiki/Radian,,https://en.wikipedia.org/wiki/radian
26,tesla,units,T,Wb/m^2,,kg*s^{−2}*A^{−1},,tesla,tesla,https://en.wikipedia.org/wiki/Tesla,,https://en.wikipedia.org/wiki/tesla
