id,En_symbol,part of,math,math formula,Tex formula,unit of measure,vars,Ro description,En description,En wiki
1,science,knowledge,,,,,,ştiinţa,science,https://en.wikipedia.org/wiki/Science
2,math,science,,,,,,matematică,mathematics,https://en.wikipedia.org/wiki/Mathematics
3,physics,science,,,,,,fizică,physics,https://en.wikipedia.org/wiki/Physics
4,thermodynamics,physics,,,,,,termodinamică,thermodynamics,https://en.wikipedia.org/wiki/Thermodynamics
5,mechanics,physics,,,,,,mecanică,classical mechanics,https://en.wikipedia.org/wiki/Mechanics
6,calorimetry,physics,,,,,,calorimetrie,calorimetry,https://en.wikipedia.org/wiki/Calorimetry
7,electricity,physics,,,,,,electricitate,electricity,https://en.wikipedia.org/wiki/Electricity
8,magnetism,physics,,,,,,magnetism,magnetism,https://en.wikipedia.org/wiki/Magnetism
9,optics,physics,,,,,,optică,optics,https://en.wikipedia.org/wiki/Optics
10,electromagnetism,physics,,,,,,electromagnetism,electromagnetism,https://en.wikipedia.org/wiki/Electromagnetism
11,quantum,physics,,,,,,mecanică quantică,quantum mechanics,https://en.wikipedia.org/wiki/Quantum_mechanics
12,nuclear,physics,,,,,,fizică nucleară,nuclear physics,https://en.wikipedia.org/wiki/Nuclear_physics
13,atomic,physics,,,,,,fizică atomică,atomic physics,https://en.wikipedia.org/wiki/Atomic_physics
14,units,physics,,,,,,unităţi de măsură,units of measurement,https://en.wikipedia.org/wiki/Units_of_measurement
15,m,units,m,,,,,metru,metre,https://en.wikipedia.org/wiki/Metre
16,J,units,J,N*m,,kg*m^2*s^{−2},,joule,joule,https://en.wikipedia.org/wiki/Joule
17,K,units,K,,,,,kelvin,kelvin,https://en.wikipedia.org/wiki/Kelvin
18,mol,units,mol,,,,,mol,mole,https://en.wikipedia.org/wiki/Mole_(unit)
19,kg,units,kg,,,,,kilogram,kilogram,https://en.wikipedia.org/wiki/Kilogram
20,s,units,s,,,,,secundă,second,https://en.wikipedia.org/wiki/Second
21,cd,units,cd,,,,,candelă,candela,https://en.wikipedia.org/wiki/Candela
22,F,units,F,C/V,,kg^{−1}*m^{−2}*s^4*A^2,,farad,farad,https://en.wikipedia.org/wiki/Farad
23,Bq,units,Bq,,,s^{-1},,becquerel,becquerel,https://en.wikipedia.org/wiki/Becquerel
24,ohm,units,Omega,V/A,,kg*m^2*s^{−3}*A^{−2},,ohm,ohm,https://en.wikipedia.org/wiki/Ohm
25,rad,units,rad,,,m*m^{-1},,radian,radian,https://en.wikipedia.org/wiki/Radian
26,tesla,units,T,Wb/m^2,,kg*s^{−2}*A^{−1},,tesla,tesla,https://en.wikipedia.org/wiki/Tesla
27,V,units,V,W/A,,kg*m^2*s^{−3}*A^{−1},,volt,volt,https://en.wikipedia.org/wiki/Volt
28,Pa,units,Pa,N/m^2,,kg*m^{−1}*s^{−2},,pascal,pascal,https://en.wikipedia.org/wiki/Pascal_(unit)
29,W,units,W,J/s,,kg*m^2*s^{−3},,watt,watt,https://en.wikipedia.org/wiki/Watt
30,lm,units,lm,cd*sr,,cd,,lumen,lumen,https://en.wikipedia.org/wiki/Lumen_(unit)
31,Wb,units,Wb,V*s,,kg*m^2*s^{−2}*A^{−1},,weber,weber,https://en.wikipedia.org/wiki/Weber_(unit)
32,N,units,N,,,kg*m*s^{−2},,newton,newton,https://en.wikipedia.org/wiki/Newton_(unit)
33,A,units,A,,,,,ampere,ampere,https://en.wikipedia.org/wiki/Ampere
34,lx,units,lx,lm/m^2,,m^{−2}*cd,,lux,lux,https://en.wikipedia.org/wiki/Lux
35,H,units,H,Wb/A,,kg*m^2*s^{−2}*A^{−2},,henry,henry,https://en.wikipedia.org/wiki/Henry_(unit)
36,sr,units,sr,,,m^2*m^{−2},,unghi solid,solid angle,https://en.wikipedia.org/wiki/Solid_angle
37,deltat,mecanics,Delta t,t - t_0,t - t_0,s,"t_0, t",intervalul de timp,duration,https://en.wikipedia.org/wiki/Time
38,deltav,mecanics,Delta vec v,vec v - vec v_0,\vec v - \vec v_0,m*s^{-1},"vec v,vec v_0",variaţia vectorului viteză,change in velocity,https://en.wikipedia.org/wiki/Delta-v
,noWave,electromagnetism,bar nu_{kn} ,nu_kn / c,\nu_{kn} / c,m^{-1},"radFrequency,lightSpeed",număr de undă,wavenumber,https://en.wikipedia.org/wiki/Wavenumber
,,e,sum_{i=1}^{n} I_i,0,0,A,,Legile lui Kirchhoff,Kirchhoff's circuit laws,https://en.wikipedia.org/wiki/Kirchhoff%27s_circuit_laws
,,e,sum_{i=1}^{n} E_i,sum_{j=1}^{m} I_j * R_j,\sum_{j=1}^{m} I_j  R_j,V,,Legile lui Kirchhoff,Kirchhoff's circuit laws,https://en.wikipedia.org/wiki/Kirchhoff%27s_circuit_laws
,I,e,I_i,,,,,intensităţile curenţilor electrici care se intâlnesc într-un nod de reţea,the intensities of electric currents meeting in a node of a net,https://en.wikipedia.org/wiki/Intensity_(physics)
,,e,E_i,,,,,tensiunile electromotoare ale surselor din ochiul de reţea,electromotive tensions of the sources from the net's node,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,I_j,,,,,intensităţile curenţilor prin ramurile ochiului de reţea,the intesities of the currents thru the net's node,https://en.wikipedia.org/wiki/Intensity_(physics)
,,e,R_j,,,,,rezistenţa totală pentru fiecare ramură,the total resistance for each branch,https://en.wikipedia.org/wiki/Electrical_resistance_and_conductance
,noWave,e,bar nu_{kn} ,R * (Z - sigma)^2 * (1/n^2 - 1/k^2),R  (Z - \sigma)^2  (1/n^2 - 1/k^2),m^{-1},"constRydberg,atomicNo,constScreen,quanticNoN,quanticNoK",Legea lui Moseley,Moseley's law,https://en.wikipedia.org/wiki/Moseley%27s_law
,,r,nu_{kn} ,,,,,număr de undă,wavenumber,https://en.wikipedia.org/wiki/Wavenumber
,constRydberg,r,R,,,,,constanta lui Rydberg,Rydberg's constant,https://en.wikipedia.org/wiki/Rydberg_constant
,atomicNo,r,Z,,,,,număr atomic,atomic number,https://en.wikipedia.org/wiki/Atomic_number
,constScreen,r,sigma,,,,,constantă de ecran,screen constant,https://en.wikipedia.org/wiki/Cable
,quanticNoN,r,n,,,,,"număr cuantic principal al nivelului n, din care are loc tranziția","principal quantic number of the level n, from which the transition is made",https://en.wikipedia.org/wiki/Quantum_number
,quanticNoK,r,k,,,,,"număr cuantic principal al nivelului k, în care are loc tranziția","principal quantic number of the level n, in which the transition is made",https://en.wikipedia.org/wiki/Quantum_number
,radFrequency,r,nu_{kn} ,,,,,frecvenţa radiaţiei caracteristice,characteristic radiation frequency,https://en.wikipedia.org/wiki/Radiation
,,r,c,,,,,viteza luminii în vid,light velocity in vacuum,https://en.wikipedia.org/wiki/Vacuum
,,e,,,,,,Legea lui Ohm,Ohm's law,https://en.wikipedia.org/wiki/Ohm%27s_law
,,e,I,U / R,\frac U R,A,,intensitatea curentului electric pentru o porţiune de circuit (curent continuu),electric current intensity for a portion of the circuit (DC),https://en.wikipedia.org/wiki/Electric_current
,,e,U,I * R,,V,,tensiunea pe porţiunea de circuit,the tension on the circuit portion,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,R,U / I,,Omega,,rezistenţa electrică a porţiunii de circuit,electrical resistance of the circuit portion,https://en.wikipedia.org/wiki/Electrical_network
,,e,I,E / {R + r},,A,,pentru un circuit simplu,for a simple circuit,https://en.wikipedia.org/wiki/Electrical_network
,,e,E,,,,,tensiunea electromotoare a sursei,electromotive tension of the source,https://en.wikipedia.org/wiki/Electrical_resistance_and_conductance
,,e,r,,,,,rezistenţa interioară a sursei de tensiune,inner resistance of the tension source,https://en.wikipedia.org/wiki/Electrical_resistance_and_conductance
,,e,I_{ef},{U_{ef}}/{Z},{U_{ef}}/{Z},A,,intensitatea efectiva a curentului alternativ pentru un circuit serie RLC,effective intensity of the AC for a serial circuit RLC,https://en.wikipedia.org/wiki/Intensity_(physics)
,,e,Z,sqrt(R^2 + (X_L - X_C)^2),\sqrt{R^2 + (X_L - X_C)^2},Omega,,impedanţa circuitului pentru un circuit serie RLC,circuit impedance for a series RLC circuit,https://en.wikipedia.org/wiki/Electrical_impedance
